word,freq
赶集网,10
盒子,10
这部分,10
绝大部分,10
我家,10
往前,10
某个,10
罗马,10
轻视,10
感谢,10
意思,10
愿意,10
游戏,10
工厂,10
毕业证,10
小时候,10
吃得起,10
情商,10
关注,10
安身立命,10
如果说,10
熏陶,10
落榜,10
感受,10
富豪,10
咱们,10
概率论,10
提前,10
面前,10
选项,10
白岩松,10
我妈,10
机灵,10
招牌,10
往后,10
高考制度,10
无尽,10
忽视,10
总裁班,10
似的,10
too,10
足以,10
最能,10
填报,10
变量,10
承担,10
门票,10
各个,10
求职,10
家人,10
命题,10
三个,10
上海,10
训练,10
体面,10
本质,10
开端,10
霸道,10
二线,10
学院,10
人员,10
没错,10
所在,10
七大姑八大姨,10
靠着,10
超越,10
热衷于,10
面试,10
图书馆,10
回馈,10
太多太多,10
第四个,10
58,10
风水,10
米饭,10
easy,10
专情,10
康波,10
死亡,10
优质,10
荣耀,10
棋手,10
中奖率,10
当前,10
珍惜,10
先说,10
子弟,10
体验,10
展示,10
高学历,10
全部,10
是因为,10
体力,10
人数,10
失常,10
变相,10
国企,10
体系,10
老大,10
大字,10
方法,10
有句,10
没关系,10
总有,10
流传,10
10,10
心中,10
简历,10
尽全力,10
当初,10
保持,10
现代,10
来讲,10
做点,10
一万,10
青年,10
专科生,10
生命,10
有个,10
优异,10
讨饭,10
艺术,10
高低,10
快乐,10
穷人家,10
恰好,10
多个,10
王宝强,10
极端,10
黄金,10
这条,10
铁路,10
阴德,10
一片,10
大专生,10
在校,10
打开,10
向上,10
下力,10
蝴蝶效应,10
专转本,10
智商,10
本硕博,10
重点,10
视频,10
注意,10
三次,10
实验班,10
慢慢,10
底层,10
口中,10
周围,10
手段,10
保障,10
鸡汤,10
以下,10
自主,10
助力,10
下线,10
不在乎,10
弥补,10
中产,10
志愿,10
保底,10
万物,10
关于,10
所处,10
普普通通,10
北大,10
小时,10
除了,10
人际,10
王者,10
前行,10
初始,10
随便,10
组成,10
万人,10
终身,10
想象,10
基尼系数,10
一套,10
总裁,10
充分,10
专业知识,10
普罗,10
单位,10
上市,10
极大,10
天天,10
找个,10
假如,10
复读,10
选择面,10
教师,10
一张,10
你好,10
度过,10
答主,10
工人,10
无数次,10
踏入社会,10
在乎,10
一劳永逸,10
照顾,10
硕士,10
并非,10
意识,10
XX,10
这类,10
销售,10
一半,10
局限,10
分水岭,10
耳濡目染,10
考完,10
培养,10
太重,10
土丘,10
天下第一,10
下限,10
教训,10
一笔,10
知识点,10
排位,10
追上,10
白领,10
打破,10
平均,10
运行,10
谈钱,10
前段时间,10
十二年,10
过往,10
跨过,10
不配,10
富裕,10
30,10
勉强,10
下去,10
另一半,10
上能,10
实习,10
反驳,10
0.6,10
说服,10
意味,10
只能靠,10
长期,10
多么,10
太多,10
二十年,10
顿顿,10
39,10
一枚,10
长跑,10
冒名顶替,9
内心,8
推荐,8
焦虑,8
主动,8
健康,8
权贵,7
洗牌,7
说白了,7
相关,7
一只,7
所说,6
阴暗,6
晚上,6
真实,6
悲观,6
看起来,6
提出,6
一方面,5
一门,5
与其,5
无穷大,5
同系,5
因子,5
人生道路,5
走断,5
困扰,5
部分,5
相处,5
传统,5
他发,5
一卷,5
大概,5
地被,5
还会教,5
含选,5
大利,5
打击,5
开拓,5
xx,5
娘家,5
狭隘,5
第三,5
不幸,5
改革,5
抽空,5
信仰,5
倒计时,5
996,5
江海,5
千万,5
错失,5
起薪,5
建立,5
决策,5
沦为,5
自称,5
教育部,5
小宝贝,5
物质,5
专人,5
人们,5
身有,5
回过头来,5
过份,5
备考,5
动作,5
抉择,5
爆种,5
但阔,5
顽强,5
总是,5
长远目标,5
遮挡,5
权重,5
涨幅,5
绝不会,5
越来越少,5
新疆,5
父辈,5
哥哥,5
博弈,5
政工,5
看见,5
透明,5
兜底,5
网上,5
顶梁柱,5
刚好,5
高职,5
学会,5
从小,5
苍蝇,5
现如今,5
学学,5
物理化学,5
争一争,5
察言观色,5
唯分数论,5
14,5
很广,5
班主任,5
送房,5
八十,5
学长,5
考点,5
2019,5
三百六十行,5
前段,5
场上,5
转码,5
前者,5
数年,5
流连,5
共勉,5
经常,5
200,5
一流,5
亮丽,5
阿卡,5
诚心诚意,5
害怕,5
养家糊口,5
爷奶,5
超级,5
错误,5
离不开,5
工种,5
四大,5
狂妄,5
的确如此,5
上心,5
保守,5
安规,5
之功,5
上帝,5
排除,5
不太好,5
说话,5
不单单是,5
主页,5
平等竞争,5
哲学,5
BAT,5
反馈,5
考了,5
顺顺利利,5
为数不多,5
适应,5
之上,5
复变,5
说得好,5
工程师,5
也罢,5
身份,5
混上,5
夏季,5
正是,5
因数,5
说教,5
下棋,5
不学,5
务农,5
触及,5
判断,5
大牛市,5
差强,5
它会,5
下跌,5
否乎,5
良心,5
旺盛,5
百分之一,5
一个多,5
天花板,5
利用,5
矿有,5
不见得,5
买账,5
牵动,5
虚度光阴,5
八十年,5
结识,5
一穷二白,5
称为,5
准确,5
保护,5
之路,5
商机,5
劳动力,5
胜过,5
手中,5
貌若,5
上班,5
含金量,5
生长,5
某大,5
PS,5
从小到大,5
前进,5
失手,5
学妹,5
心灵鸡汤,5
多劳多得,5
不受,5
跨越,5
出手,5
感悟,5
适合,5
造就,5
羡慕,5
这得,5
教诲,5
通向,5
一般来说,5
回头,5
缓冲,5
六个,5
17,5
外因,5
缺点,5
不入流,5
千金,5
两院,5
11,5
颓废,5
分对,5
此处,5
不论是,5
起飞,5
老家,5
还长,5
悲剧,5
在此一举,5
转化,5
处事,5
境地,5
厚厚的,5
多半,5
薪酬,5
国内,5
越好,5
休息,5
份量,5
模考,5
使得,5
大奖,5
气氛,5
青春,5
独立思考,5
发起,5
赶得上,5
编织,5
无凭无据,5
火箭,5
比起,5
后悔莫及,5
烫出,5
不差,5
学风,5
太远,5
三线,5
苦口婆心,5
心在,5
三十九年,5
哪来,5
被动,5
大大小小,5
情景,5
倾向,5
主群,5
交通法规,5
两样,5
