job_name,job_area,salary,experience,edu,skill,welfare,company_name,industry,stage,population
Python,北京,15-30K,5-10年,本科,Flask 数据库 后端开发 消息队列 分布式计算,免费班车，定期体检，补充医疗保险，带薪年假，年终奖，五险一金，餐补，节日福利,金风科技,计算机软件,已上市,1000-9999人
Python,北京·朝阳区,15-30K,1-3年,本科,深度学习算法 数据挖掘 智能驾驶 地图导航 大数据,通讯补贴，带薪年假，定期体检，节日福利，餐补，补充医疗保险，五险一金，年终奖,亿咖通,互联网,不需要融资,1000-9999人
Python,北京·海淀区,15-30K,1-3年,本科,NLP Golang 后端开发 后台服务开发 Golang语言,股票期权，包吃，年终奖，带薪年假，补充医疗保险，加班补助，餐补，节日福利，员工旅游，定期体检，五险一金，免费班车,腾讯,互联网,已上市,10000人以上
Python,北京·海淀区,12-24K·14薪,3-5年,本科,网络爬虫技术 Hadoop 数据挖掘 网络安全 python类,零食下午茶，补充医疗保险，交通补助，加班补助，股票期权，通讯补贴，带薪年假，免费班车，五险一金，节日福利，定期体检，住房补贴，年终奖，餐补,华为,计算机软件,不需要融资,10000人以上
Python,北京·通州区,12-20K,1-3年,本科,机器学习 图像算法 精通python NumPy Pandas,,启迪桑德,O2O,已上市,10000人以上
Python,北京·海淀区,20-40K,1-3年,本科,爬虫工程师 分布式爬虫 反爬虫 信息抽取技术 Xpath,餐补，年终奖，带薪年假，定期体检，补充医疗保险，零食下午茶，五险一金，股票期权,旷视MEGVII,计算机服务,D轮及以上,1000-9999人
Python,北京·海淀区,20-40K,1-3年,本科,机器学习 Tornado web开发框架 Flask Mongo,餐补，通讯补贴，带薪年假，补充医疗保险，节日福利，五险一金，年终奖，加班补助，零食下午茶，交通补助，定期体检，免费班车，员工旅游,旷视科技(Face++),计算机服务,D轮及以上,1000-9999人
python,北京,15-25K·14薪,3-5年,本科,DPDK Shell Linux C语言 Java,带薪年假，定期体检，五险一金，加班补助，节日福利，零食下午茶，免费班车,软通动力,计算机软件,已上市,10000人以上
Python,北京·海淀区,15-30K·14薪,1-3年,本科,Java web开发框架 Flask Django 常用数据结构,购房福利，商业保险，五险一金，补充医疗保险，带薪年假，不定期培训，定期体检，节日福利，年终奖，全勤奖，餐补,好未来,互联网,已上市,10000人以上
Python,北京,20-40K·14薪,3-5年,本科,Java Web框架 网络协议 服务端开发 linux环境,餐补，股票期权，公积金高，包吃，定期体检，带薪年假，补充医疗保险，交通补助，年终奖，免费班车，节日福利，五险一金,小米,互联网,已上市,10000人以上
Python,北京·朝阳区,20-40K,5-10年,本科,Django 系统架构 Flask 消息队列 并发编程,带薪年假，定期体检，节日福利，餐补，五险一金，员工旅游，股票期权，免费班车，交通补助，年终奖，补充医疗保险，加班补助,阿里巴巴集团,互联网,已上市,10000人以上
Python,北京·朝阳区,20-40K,1-3年,本科,后端开发 编码习惯 服务器开发 熟悉linux 关系型数据库,餐补，年终奖，补充医疗保险，股票期权，五险一金，定期体检，零食下午茶，节日福利，包吃，带薪年假，员工旅游，通讯补贴，交通补助,一起教育科技,在线教育,D轮及以上,10000人以上
