日期,体重lb,体脂率%,数据源
2014-10-02,165.1,,withings
2014-10-05,166.2,,withings
2014-10-06,170.6,,withings
2014-10-07,165.8,,withings
2014-10-08,167.6,,withings
2014-10-09,165.8,,withings
2014-10-10,164.7,,withings
2014-10-11,164.2,,withings
2014-10-12,164.9,,withings
2014-10-14,166.0,,withings
2014-10-15,165.3,19.5,withings
2014-10-16,163.8,,withings
2014-10-17,165.1,17.9,withings
2014-10-19,166.0,,withings
2014-10-20,166.0,,withings
2014-10-22,166.4,,withings
2014-10-23,163.8,,withings
2014-10-25,163.8,,withings
2014-10-26,165.8,,withings
2014-10-27,167.6,,withings
2014-10-28,168.2,,withings
2014-10-29,168.4,,withings
2014-10-30,164.9,,withings
2014-10-31,167.3,,withings
2014-11-03,168.0,,withings
2014-11-05,169.1,,withings
2014-11-06,171.1,,withings
2014-11-07,169.8,,withings
2014-11-08,169.3,,withings
2014-11-09,169.5,,withings
2014-11-10,169.8,,withings
2014-11-12,166.2,,withings
2014-11-13,167.6,,withings
2014-11-15,166.4,,withings
2014-11-16,168.0,,withings
2014-11-17,167.3,,withings
2014-11-18,167.3,,withings
2014-11-19,168.0,,withings
2014-11-21,166.7,,withings
2014-11-22,166.2,,withings
2014-11-24,168.7,,withings
2014-11-26,166.4,,withings
2014-11-30,169.5,,withings
2014-12-03,168.9,,withings
2014-12-04,168.0,,withings
2014-12-05,166.4,18.6,withings
2014-12-06,167.8,,withings
2014-12-07,167.8,,withings
2014-12-08,168.2,,withings
2014-12-10,166.7,,withings
2014-12-12,166.2,,withings
2014-12-14,168.9,18.1,withings
2014-12-15,170.0,18.5,withings
2014-12-17,168.9,,withings
2014-12-21,168.4,19.3,withings
2014-12-22,168.2,19.2,withings
2014-12-28,169.1,,withings
2014-12-29,170.0,,withings
2014-12-31,168.4,,withings
2015-01-05,168.9,,withings
2015-01-06,168.4,,withings
2015-01-07,166.0,,withings
2015-01-08,167.1,,withings
2015-01-09,165.8,,withings
2015-01-10,168.0,,withings
2015-01-11,169.3,,withings
2015-01-12,168.4,,withings
2015-01-18,165.3,,withings
2015-01-19,168.4,,withings
2015-01-20,168.7,,withings
2015-01-21,167.8,,withings
2015-01-23,166.4,,withings
2015-01-24,165.8,,withings
2015-01-25,167.8,19.2,withings
2015-01-27,166.7,,withings
2015-01-28,167.1,,withings
2015-01-29,166.7,,withings
2015-02-01,163.6,,withings
2015-02-02,166.4,,withings
2015-02-05,164.7,,withings
2015-02-06,163.6,,withings
2015-02-07,164.0,,withings
2015-02-08,163.4,,withings
2015-02-09,162.9,,withings
2015-02-10,162.9,,withings
2015-02-11,162.5,,withings
2015-02-13,164.0,,withings
2015-02-14,163.6,,withings
2015-02-15,163.6,,withings
2015-02-16,163.6,,withings
2015-02-17,164.9,,withings
2015-02-20,162.0,,withings
2015-02-25,168.0,,withings
2015-02-26,164.9,,withings
2015-03-03,162.0,,withings
2015-03-04,163.1,,withings
2015-03-06,163.8,,withings
2015-03-07,163.4,,withings
2015-03-08,163.8,,withings
2015-03-10,162.9,,withings
2015-03-11,162.7,,withings
2015-03-12,164.0,,withings
2015-03-13,165.6,,withings
2015-03-14,166.7,,withings
2015-03-15,165.8,,withings
2015-03-16,164.9,,withings
2015-03-17,162.9,,withings
2015-03-18,162.0,,withings
2015-03-19,163.4,,withings
2015-03-20,164.5,,withings
2015-03-21,164.9,,withings
2015-03-26,162.9,,withings
2015-03-27,162.7,,withings
2015-03-28,163.6,,withings
2015-03-29,163.1,,withings
2015-03-30,166.2,,withings
2015-03-31,166.0,,withings
2015-04-01,167.3,,withings
2015-04-03,164.9,,withings
2015-04-12,167.8,,withings
2015-04-13,165.8,,withings
2015-04-14,166.4,,withings
2015-04-15,166.7,,withings
2015-04-17,165.8,,withings
2015-04-18,164.5,,withings
2015-04-19,164.9,,withings
2015-04-20,165.3,,withings
2015-04-21,167.3,,withings
2015-04-22,167.8,,withings
2015-04-23,166.9,,withings
2015-04-25,165.6,,withings
2015-04-26,166.9,,withings
2015-04-27,167.1,,withings
2015-04-29,167.1,,withings
2015-05-01,164.9,,withings
2015-05-02,168.4,19.0,withings
2015-05-03,168.4,,withings
2015-05-04,170.4,,withings
2015-05-05,169.3,,withings
2015-05-06,166.9,20.2,withings
2015-05-07,166.2,,withings
2015-05-08,167.6,,withings
2015-05-09,165.8,,withings
2015-05-11,167.6,19.6,withings
2015-05-12,166.7,,withings
2015-05-13,169.5,,withings
2015-05-14,169.1,,withings
2015-05-15,168.7,,withings
2015-05-16,168.0,,withings
2015-05-17,170.4,,withings
2015-05-18,166.9,,withings
2015-05-19,168.4,,withings
2015-05-20,166.2,,withings
2015-05-21,167.3,,withings
2015-05-22,168.2,,withings
2015-05-23,167.8,,withings
2015-05-24,168.7,,withings
2015-05-26,173.7,,withings
2015-05-27,171.1,,withings
2015-05-28,166.9,,withings
2015-05-29,167.8,,withings
2015-05-30,167.6,,withings
2015-05-31,167.8,21.2,withings
2015-06-01,168.4,21.1,withings
2015-06-02,168.0,20.3,withings
2015-06-03,166.7,,withings
2015-06-04,167.8,,withings
2015-06-05,165.3,,withings
2015-06-07,165.8,19.4,withings
2015-06-08,166.9,,withings
2015-06-08,166.9,20.2,withings
2015-06-10,165.8,,withings
2015-06-11,164.9,,withings
2015-06-12,165.3,,withings
2015-06-13,165.8,,withings
2015-06-14,166.0,,withings
2015-06-15,163.6,,withings
2015-06-16,165.1,,withings
2015-06-23,168.7,,withings
2015-06-24,168.4,,withings
2015-06-25,164.7,,withings
2015-06-26,168.4,,withings
2015-06-27,166.2,,withings
2015-06-28,166.7,,withings
2015-06-29,167.6,,withings
2015-07-04,164.5,,withings
2015-07-06,168.0,,withings
2015-07-08,163.1,,withings
2015-07-09,161.4,,withings
2015-07-10,163.4,,withings
2015-07-12,170.9,,withings
2015-07-13,169.1,19.3,withings
2015-07-16,165.6,,withings
2015-07-17,166.0,,withings
2015-07-18,165.8,,withings
2015-07-19,168.9,,withings
2015-07-21,169.1,,withings
2015-07-22,165.8,,withings
2015-07-23,165.8,,withings
2015-07-27,166.0,,withings
2015-07-29,169.8,,withings
2015-07-30,167.8,,withings
2015-07-31,168.7,,withings
2015-08-01,168.0,,withings
2015-08-02,170.9,,withings
2015-08-03,171.1,,withings
2015-08-04,170.2,,withings
2015-08-05,173.1,,withings
2015-08-06,169.3,,withings
2015-08-07,168.0,,withings
2015-08-08,165.3,,withings
2015-08-09,166.9,,withings
2015-08-11,169.8,,withings
2015-08-11,169.8,,other
2015-08-13,168.7,,withings
2015-08-13,168.6,,other
2015-08-14,168.7,,withings
2015-08-14,168.6,,other
2015-08-19,172.4,,withings
2015-08-19,172.4,,omron
2015-08-20,171.1,,withings
2015-08-20,171.0,,omron
2015-08-22,170.4,,omron
2015-08-22,170.4,,withings
2015-09-14,174.4,,withings
2015-09-15,173.9,,withings
2015-09-16,171.1,,withings
2015-09-17,171.1,20.1,withings
2015-09-18,172.2,,withings
2015-09-19,171.5,,withings
2015-09-20,173.7,,withings
2015-09-21,174.2,,withings
2015-09-22,172.6,,withings
2015-09-23,173.5,,withings
2015-09-24,176.1,,withings
2015-09-25,171.5,,withings
2015-09-26,172.2,,withings
2015-09-30,169.5,,withings
2015-10-01,168.2,,withings
2015-10-02,169.5,,withings
2015-10-04,169.1,,withings
2015-10-05,168.0,,withings
2015-10-07,166.2,,withings
2015-10-08,167.0,20.9,omron
2015-10-08,167.1,20.9,withings
2015-10-12,168.2,20.7,omron
2015-10-12,168.2,20.7,withings
2015-10-13,169.3,20.9,withings
